,feature,global_accuracy,true_positive_rate,true_negative_rate,positive_predictive_value,true_positives,true_negatives,false_positives,false_negatives,mean_quantile_score
0,n4,0.8975186947654656,0.2084051724137931,0.9850060194812301,0.6382838283828383,967,36000,548,3673,0.7916666666666666
1,c8_yes,0.897421579100709,0.19267241379310346,0.9868939476852359,0.651128914785142,894,36069,479,3746,0.7833333333333333
2,month_mar,0.8874915023793338,0.059482758620689656,0.9926124548538908,0.5054945054945055,276,36278,270,4364,0.7541666666666667
3,i5,0.8740895406429057,0.47607758620689655,0.9246196782313669,0.4450040290088638,2209,33793,2755,2431,0.7374999999999999
4,month_dec,0.8872487132174419,0.01918103448275862,0.9974554011163401,0.489010989010989,89,36455,93,4551,0.7291666666666666
5,month_sep,0.8859376517432261,0.05517241379310345,0.9914085586078581,0.44912280701754387,256,36234,314,4384,0.7208333333333333
6,month_oct,0.8852092842575507,0.06788793103448276,0.988973404837474,0.4387186629526462,315,36145,403,4325,0.7166666666666667
7,i3,0.8778527726522288,0.24116379310344827,0.9586844697384261,0.42563712438189427,1119,35038,1510,3521,0.7125
8,i2,0.8755705545304457,0.21530172413793103,0.9593958629747181,0.4023358840112767,999,35064,1484,3641,0.7
9,age,0.8827328348062542,0.09590517241379311,0.9826255882674838,0.41203703703703703,445,35913,635,4195,0.7
10,school_0 - none,0.8871030397203069,0.0008620689655172414,0.999616942103535,0.2222222222222222,4,36534,14,4636,0.675
11,employment_student,0.8794551811207147,0.059267241379310345,0.9835832330086461,0.3142857142857143,275,35948,600,4365,0.6708333333333334
12,n6,0.8235651160532194,0.3230603448275862,0.8871073656561235,0.2664888888888889,1499,32422,4126,3141,0.6541666666666666
13,employment_leisure,0.8666601922890163,0.0935344827586207,0.9648133960818649,0.25232558139534883,434,35262,1286,4206,0.6458333333333333
14,i4,0.7199184228416043,0.7114224137931034,0.7209970449819415,0.24455474885168174,3301,26351,10197,1339,0.6395833333333333
15,i1,0.7197970282606584,0.7114224137931034,0.720860238590347,0.24446419314226467,3301,26346,10202,1339,0.6270833333333333
16,month_apr,0.8496163931242109,0.11616379310344828,0.942732844478494,0.2047872340425532,539,34455,2093,4101,0.6125
17,employment_none,0.8697193357288531,0.03103448275862069,0.976195687862537,0.14201183431952663,144,35678,870,4496,0.5916666666666667
18,c8_no,0.8134893658347091,0.13038793103448276,0.9002134179708876,0.1422859830667921,605,32901,3647,4035,0.5791666666666666
19,c4_new,0.4396911721860736,0.8303879310344827,0.39008974499288607,0.14737607099143207,3853,14257,22291,787,0.5708333333333333
20,c4_old,0.4396911721860736,0.8303879310344827,0.39008974499288607,0.14737607099143207,3853,14257,22291,787,0.5708333333333333
21,marriage-status_single,0.6851510148586967,0.34913793103448276,0.7278100032833534,0.1400414937759336,1620,26600,9948,3020,0.5583333333333333
22,employment_assistant,0.6999611537340973,0.2913793103448276,0.7518332056473679,0.12972558050278257,1352,27478,9070,3288,0.5458333333333333
23,school_5 - a lot,0.6730115567641061,0.3599137931034483,0.7127613002079457,0.13724523339907954,1670,26050,10498,2970,0.5416666666666666
24,c3_False,0.299941730601146,0.9045258620689656,0.2231859472474554,0.12878973855406897,4197,8157,28391,443,0.5395833333333333
25,n5,0.8564387685733709,0.045689655172413794,0.9593685016963992,0.1249263406010607,212,35063,1485,4428,0.5375
26,marriage-status_married,0.594930562299699,0.4543103448275862,0.6127831892306008,0.12964329643296432,2108,22396,14152,2532,0.5333333333333333
