,model run,global_accuracy,true_positive_rate,true_negative_rate,positive_predictive_value,true_positives,true_negatives,false_positives,false_negatives,parameters,mean_quantile_score
0,8,0.896717491,0.186206897,0.986921309,0.643815201,864,36070,478,3776,"{'n_clusters': 92, 'random_state': 1, 'n_init': 10}",0.825
1,9,0.89649898,0.188793103,0.986346722,0.637090909,876,36049,499,3764,"{'n_clusters': 17, 'random_state': 1, 'n_init': 10}",0.8
2,6,0.896183354,0.190732759,0.985744774,0.629445235,885,36027,521,3755,"{'n_clusters': 76, 'random_state': 1, 'n_init': 10}",0.775
3,4,0.895236477,0.191594828,0.984568239,0.611837577,889,35984,564,3751,"{'n_clusters': 53, 'random_state': 1, 'n_init': 10}",0.725
4,2,0.894993687,0.19375,0.984021013,0.606203641,899,35964,584,3741,"{'n_clusters': 18, 'random_state': 1, 'n_init': 10}",0.625
5,3,0.894532388,0.193534483,0.98352851,0.598666667,898,35946,602,3742,"{'n_clusters': 54, 'random_state': 1, 'n_init': 10}",0.475
6,0,0.894580946,0.1875,0.984349349,0.60332871,870,35976,572,3770,"{'n_clusters': 46, 'random_state': 1, 'n_init': 10}",0.475
7,7,0.893706905,0.178448276,0.984513516,0.593974175,828,35982,566,3812,"{'n_clusters': 24, 'random_state': 1, 'n_init': 10}",0.3
8,1,0.893779742,0.182758621,0.984048375,0.592592593,848,35965,583,3792,"{'n_clusters': 25, 'random_state': 1, 'n_init': 10}",0.275
9,5,0.893536953,0.190517241,0.982789756,0.584269663,884,35919,629,3756,"{'n_clusters': 26, 'random_state': 1, 'n_init': 10}",0.225
