,model run,duplicates,global_accuracy,true_positive_rate,true_negative_rate,positive_predictive_value,true_positives,true_negatives,false_positives,false_negatives,mean_quantile_score,parameters
0,5,44,0.900844906,0.226724138,0.986428806,0.679586563,1052,36052,496,3588,0.6375000000000001,"{'min_samples_split': 311, 'min_samples_leaf': 91, 'max_features': 19, 'n_estimators': 100, 'random_state': 1}"
1,1,60,0.899679518,0.185344828,0.99036883,0.709570957,860,36196,352,3780,0.625,"{'min_samples_split': 79, 'min_samples_leaf': 181, 'max_features': 12, 'n_estimators': 100, 'random_state': 1}"
2,9,30,0.899849471,0.2,0.988699792,0.69202088,928,36135,413,3712,0.55,"{'min_samples_split': 127, 'min_samples_leaf': 171, 'max_features': 24, 'n_estimators': 100, 'random_state': 1}"
3,8,59,0.900893464,0.24612069,0.984021013,0.661645423,1142,35964,584,3498,0.55,"{'min_samples_split': 300, 'min_samples_leaf': 123, 'max_features': 54, 'n_estimators': 100, 'random_state': 1}"
4,3,22,0.899533845,0.189008621,0.989739521,0.700479233,877,36173,375,3763,0.5375000000000001,"{'min_samples_split': 734, 'min_samples_leaf': 106, 'max_features': 60, 'n_estimators': 100, 'random_state': 1}"
5,2,65,0.90077207,0.242025862,0.984404071,0.663319551,1123,35978,570,3517,0.525,"{'min_samples_split': 386, 'min_samples_leaf': 123, 'max_features': 30, 'n_estimators': 100, 'random_state': 1}"
6,4,64,0.899388171,0.185775862,0.989985772,0.701954397,862,36182,366,3778,0.525,"{'min_samples_split': 771, 'min_samples_leaf': 144, 'max_features': 53, 'n_estimators': 100, 'random_state': 1}"
7,6,66,0.900650675,0.237715517,0.984814491,0.665259349,1103,35993,555,3537,0.525,"{'min_samples_split': 410, 'min_samples_leaf': 193, 'max_features': 41, 'n_estimators': 100, 'random_state': 1}"
8,7,62,0.900505001,0.223706897,0.986428806,0.676662321,1038,36052,496,3602,0.5125,"{'min_samples_split': 517, 'min_samples_leaf': 41, 'max_features': 29, 'n_estimators': 100, 'random_state': 1}"
9,0,48,0.899533845,0.192025862,0.989356463,0.69609375,891,36159,389,3749,0.5125,"{'min_samples_split': 680, 'min_samples_leaf': 22, 'max_features': 20, 'n_estimators': 100, 'random_state': 1}"
