age,b1,b2,c10,c3,c4,c8,dow,employment,i1,i2,i3,i4,i5,marriage-status,month,n2,n3,n4,n5,n6,school,successful_sell
34,yes,no,no,False,new,,fri,management,-1.8,93.075,-47.1,1.405,5099.1,divorced,apr,2,530,999,0.0017711730400045158,0,5 - a decent amount,no
28,yes,no,yes,False,new,,thu,assistant,-1.8,92.89299999999999,-46.2,1.327,5099.1,divorced,may,1,750,999,-1.6731524421974562,0,5 - a lot,yes
55,no,no,no,unknown,new,,tue,leisure,1.4,93.91799999999999,-42.7,4.962,5228.1,married,jul,3,600,999,0.9279456236415838,0,2 - a little bit,no
47,yes,no,no,False,new,,mon,assistant,-0.1,93.2,-42.0,4.191,5195.8,married,nov,1,860,999,0.20301251564496442,0,5 - a lot,no
49,no,no,no,unknown,new,,tue,assistant,1.4,93.91799999999999,-42.7,4.961,5228.1,married,jul,6,620,999,0.9908040882502855,0,5 - a lot,no
48,no,no,no,False,new,,tue,engineer,-0.1,93.2,-42.0,4.1530000000000005,5195.8,married,nov,4,620,999,-0.7666579518739517,0,5 - a lot,no
30,no,no,no,unknown,new,,fri,customer service,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,single,may,2,530,999,-0.5526279687676589,0,4 - average amount,no
32,yes,yes,no,False,new,,thu,management,-2.9,92.963,-40.8,1.26,5076.2,married,jun,2,900,999,-0.1596174062724241,0,4 - average amount,no
53,yes,yes,no,False,new,,thu,management,-1.8,93.749,-34.6,0.64,5008.7,divorced,apr,6,660,999,0.14067780389072707,0,5 - a lot,no
30,no,no,no,False,old,,mon,laborer,1.1,93.994,-36.4,4.857,5191.0,married,may,4,650,999,0.5705282526594909,0,4 - average amount,no
35,yes,no,no,False,new,,wed,management,-0.1,93.2,-42.0,4.12,5195.8,married,nov,1,540,999,0.49415505826544764,0,5 - a lot,no
24,yes,yes,no,False,old,,mon,assistant,1.4,94.465,-41.8,4.961,5228.1,single,jun,1,810,999,0.8746423918795404,0,5 - a decent amount,no
26,no,yes,no,False,new,,mon,student,-1.8,92.84299999999999,-50.0,1.811,5099.1,single,mar,4,780,999,0.11486377032441854,0,3 - a bit more,no
40,yes,no,no,False,new,,tue,laborer,-1.8,92.89299999999999,-46.2,1.344,5099.1,married,may,3,730,999,1.1212777531663358,0,3 - a bit more,no
43,yes,no,no,False,new,,tue,engineer,1.4,93.444,-36.1,4.963,5228.1,married,aug,1,640,999,0.6867764965554111,0,4 - average amount,no
30,no,yes,no,False,old,,wed,customer service,1.1,93.994,-36.4,4.856,5191.0,married,may,2,940,999,1.2073179188805907,0,4 - average amount,no
48,no,no,no,False,new,,fri,assistant,-0.1,93.2,-42.0,4.021,5195.8,married,nov,4,620,999,0.9588833772531741,0,5 - a lot,no
29,yes,yes,no,False,new,,mon,assistant,-2.9,92.20100000000001,-31.4,0.821,5076.2,single,aug,12,970,999,-0.6121775919760429,0,5 - a lot,no
40,no,no,no,False,new,,fri,management,-0.1,93.2,-42.0,4.021,5195.8,married,nov,3,670,999,0.09962396333099051,0,5 - a lot,no
42,no,no,no,False,old,,thu,laborer,1.4,93.91799999999999,-42.7,4.966,5228.1,married,jul,1,730,999,0.19384956086918262,0,3 - a bit more,no
30,yes,yes,no,False,new,,thu,laborer,1.4,93.91799999999999,-42.7,4.963,5228.1,single,jul,1,680,999,-1.5414949670005675,0,3 - a bit more,no
36,no,no,no,False,old,,wed,assistant,1.1,93.994,-36.4,4.859,5191.0,married,may,2,890,999,1.6387402620776712,0,4 - average amount,no
24,yes,no,no,False,new,,thu,customer service,1.4,93.91799999999999,-42.7,4.962,5228.1,single,jul,2,950,999,0.22732376065968046,0,4 - average amount,no
54,yes,no,no,False,old,,thu,laborer,-1.8,93.075,-47.1,1.483,5099.1,married,apr,2,730,999,-0.7329345237068551,0,5 - a decent amount,no
31,no,no,no,False,old,,wed,self-employed,1.1,93.994,-36.4,4.8580000000000005,5191.0,married,may,2,530,999,0.09469762446763678,0,5 - a lot,no
74,no,no,no,False,new,no,thu,leisure,-2.9,92.20100000000001,-31.4,0.851,5076.2,married,aug,2,860,999,-0.3215133208295908,1,3 - a bit more,no
38,no,yes,no,unknown,old,,wed,laborer,1.4,94.465,-41.8,4.962,5228.1,married,jun,1,840,999,1.0300032159681132,0,2 - a little bit,no
41,no,no,no,False,old,,wed,cleaner,1.1,93.994,-36.4,4.859,5191.0,married,may,1,790,999,-1.1146049037008816,0,2 - a little bit,no
59,no,yes,no,False,old,,thu,leisure,1.4,93.91799999999999,-42.7,4.968,5228.1,married,jul,3,620,999,-0.8594484636681649,0,1 - almost none,no
45,no,yes,no,False,new,,thu,assistant,1.4,93.444,-36.1,4.968,5228.1,divorced,aug,4,550,999,-0.2326656509545834,0,5 - a lot,no
50,no,no,no,False,new,,tue,customer service,1.4,93.91799999999999,-42.7,4.961,5228.1,married,jul,1,560,999,-0.11738579905723175,0,4 - average amount,no
32,yes,no,no,False,new,,thu,assistant,1.4,93.91799999999999,-42.7,4.958,5228.1,single,jul,2,940,999,0.15950350082590897,0,3 - a bit more,no
51,no,no,no,False,old,,wed,assistant,1.4,93.444,-36.1,4.965,5228.1,single,aug,2,750,999,1.5275733849971644,0,5 - a lot,no
30,yes,no,no,unknown,old,,fri,laborer,1.1,93.994,-36.4,4.855,5191.0,married,may,1,940,999,0.6349218411555192,0,2 - a little bit,no
29,yes,no,no,False,old,,wed,customer service,1.4,93.91799999999999,-42.7,4.962,5228.1,single,jul,1,740,999,1.5959855878973703,0,4 - average amount,no
36,yes,no,no,False,old,,wed,cleaner,1.1,93.994,-36.4,4.856,5191.0,married,may,1,730,999,0.2393555850279131,0,1 - almost none,no
46,yes,no,no,False,new,no,fri,assistant,-1.8,92.89299999999999,-46.2,1.25,5099.1,married,may,1,910,999,-1.0402719187690421,1,4 - average amount,no
39,no,no,no,False,new,,mon,laborer,-0.1,93.2,-42.0,4.191,5195.8,married,nov,1,690,999,-0.4623658430600982,0,5 - a decent amount,no
35,yes,yes,no,unknown,old,,mon,customer service,1.1,93.994,-36.4,4.8580000000000005,5191.0,married,may,2,640,999,0.27445504909977264,0,5 - a decent amount,no
35,no,no,no,False,new,,fri,self-employed,-0.1,93.2,-42.0,4.021,5195.8,married,nov,3,560,999,0.7511338856570795,0,5 - a lot,no
25,yes,no,no,False,old,,mon,customer service,1.1,93.994,-36.4,4.857,5191.0,single,may,1,850,999,0.8386879799628996,0,4 - average amount,no
41,no,no,no,False,new,no,fri,customer service,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,single,may,1,750,999,0.9777656216281848,1,4 - average amount,no
48,yes,no,no,unknown,old,,tue,self-employed,1.1,93.994,-36.4,4.856,5191.0,married,may,2,690,999,-0.21034112560741552,0,3 - a bit more,no
37,no,no,no,unknown,new,,tue,assistant,1.4,93.91799999999999,-42.7,4.961,5228.1,single,jul,5,770,999,-1.5328146986926212,0,5 - a lot,no
34,no,no,no,unknown,new,,fri,assistant,1.4,93.444,-36.1,4.9639999999999995,5228.1,married,aug,1,850,999,0.021403273290909897,0,5 - a lot,no
65,no,no,yes,False,old,yes,mon,management,-1.8,92.89299999999999,-46.2,1.354,5099.1,married,may,3,600,6,1.5944957934849655,1,5 - a lot,yes
40,-1,,no,False,new,,wed,laborer,-0.1,93.2,-42.0,4.12,5195.8,married,nov,3,940,999,-1.3275709137964207,0,2 - a little bit,no
30,yes,no,no,unknown,new,no,fri,customer service,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,single,may,2,750,999,0.441429127739228,1,4 - average amount,no
45,yes,no,no,False,old,,fri,engineer,1.1,93.994,-36.4,4.857,5191.0,married,may,9,840,999,-0.9405653239603541,0,4 - average amount,no
35,yes,no,no,False,old,,mon,assistant,1.1,93.994,-36.4,4.857,5191.0,married,may,1,530,999,1.7144755948234998,0,5 - a lot,no
25,no,no,no,False,new,,thu,student,-1.8,93.075,-47.1,1.365,5099.1,single,apr,1,960,999,1.1825803910246993,0,5 - a lot,no
30,yes,yes,no,False,old,,mon,student,-1.8,93.075,-47.1,1.405,5099.1,single,apr,1,770,999,0.22485884228147335,0,5 - a lot,no
41,yes,no,no,False,old,,tue,laborer,1.1,93.994,-36.4,4.857,5191.0,married,may,2,700,999,-0.4877598054493667,0,1 - almost none,no
44,yes,no,no,False,old,,mon,self-employed,1.4,94.465,-41.8,4.865,5228.1,divorced,jun,1,840,999,-0.7808890751152231,0,4 - average amount,no
33,yes,no,no,False,new,,fri,assistant,-1.8,92.89299999999999,-46.2,1.25,5099.1,married,may,1,600,999,0.894310576275928,0,4 - average amount,no
37,no,no,no,False,old,,fri,engineer,1.1,93.994,-36.4,4.855,5191.0,single,may,1,960,999,0.2059216996955541,0,5 - a decent amount,no
36,yes,no,yes,False,new,no,mon,management,-1.8,92.89299999999999,-46.2,1.354,5099.1,married,may,1,950,999,-0.8070957710822507,1,5 - a lot,yes
39,yes,no,no,False,new,,thu,laborer,-1.8,93.075,-47.1,1.483,5099.1,married,apr,1,550,999,-0.20281323844031462,0,3 - a bit more,no
27,yes,no,no,False,new,,fri,engineer,1.4,93.91799999999999,-42.7,4.962,5228.1,single,jul,6,690,999,0.5848763170690954,0,,no
34,yes,yes,no,False,old,,thu,customer service,1.1,93.994,-36.4,4.86,5191.0,divorced,may,2,650,999,-0.8451172528985806,0,3 - a bit more,no
54,no,no,no,False,old,,wed,management,1.4,94.465,-41.8,4.962,5228.1,married,jun,3,790,999,-0.42559738309426914,0,2 - a little bit,no
42,no,no,no,False,new,,wed,engineer,-1.8,92.89299999999999,-46.2,1.27,5099.1,married,may,2,850,999,2.207743050248399,0,5 - a decent amount,no
30,yes,no,no,False,old,,thu,assistant,-0.1,93.2,-42.0,4.592,5195.8,married,nov,1,850,999,1.6428839435705676,0,4 - average amount,no
33,yes,no,no,False,old,,tue,none,1.1,93.994,-36.4,4.857,5191.0,single,may,2,530,999,0.05572910846704863,0,5 - a lot,no
49,yes,no,no,unknown,new,,thu,engineer,1.4,93.444,-36.1,4.968,5228.1,married,aug,1,830,999,-0.44238807454370593,0,5 - a decent amount,no
37,no,yes,no,False,new,,mon,assistant,1.4,93.444,-36.1,4.965,5228.1,married,aug,3,510,999,0.36573593266972454,0,5 - a lot,no
43,yes,no,no,False,new,,thu,engineer,1.4,93.91799999999999,-42.7,4.958,5228.1,married,jul,1,770,999,-1.897314135860846,0,3 - a bit more,no
40,yes,no,no,False,new,,wed,engineer,1.4,93.444,-36.1,4.9639999999999995,5228.1,single,aug,1,570,999,0.20072832534855004,0,5 - a decent amount,no
32,yes,no,yes,False,old,,thu,assistant,-3.4,92.431,-26.9,0.722,5017.5,single,oct,3,530,999,-0.9016816669374529,0,5 - a lot,yes
32,no,no,no,False,old,,thu,customer service,1.1,93.994,-36.4,4.86,5191.0,single,may,1,760,999,-0.9308285316923589,0,5 - a decent amount,no
46,no,no,no,unknown,new,,tue,cleaner,1.4,93.91799999999999,-42.7,4.961,5228.1,divorced,jul,2,570,999,1.2786474940336785,0,5 - a decent amount,no
57,yes,yes,no,unknown,old,,thu,customer service,1.4,94.465,-41.8,4.961,5228.1,married,jun,1,740,999,1.0184625707016752,0,4 - average amount,no
30,no,no,yes,False,new,yes,fri,assistant,-1.1,94.199,-37.5,0.883,4963.6,single,sep,3,910,6,-0.8769643098702669,1,4 - average amount,yes
32,yes,no,yes,False,new,no,thu,laborer,-0.1,93.2,-42.0,4.0760000000000005,5195.8,single,nov,1,510,999,1.4258813401761101,1,3 - a bit more,yes
31,yes,yes,no,False,new,,mon,management,1.4,93.444,-36.1,4.963,5228.1,married,aug,2,580,999,0.252270483347488,0,5 - a lot,no
28,yes,yes,no,False,old,,mon,customer service,1.1,93.994,-36.4,4.857,5191.0,married,may,2,910,999,0.2856371200996293,0,4 - average amount,no
36,no,no,no,False,new,no,tue,engineer,-0.1,93.2,-42.0,4.1530000000000005,5195.8,married,nov,2,860,999,1.2663948775380462,1,4 - average amount,no
31,yes,no,no,unknown,old,,thu,assistant,1.1,93.994,-36.4,4.86,5191.0,married,may,2,820,999,-0.2974222866042899,0,4 - average amount,no
35,yes,no,no,False,old,,thu,engineer,1.4,94.465,-41.8,4.958,5228.1,divorced,jun,2,940,999,-0.6635766672573832,0,5 - a decent amount,no
60,yes,no,yes,False,new,yes,thu,cleaner,-2.9,92.469,-33.6,1.072,5076.2,married,jul,2,630,5,0.46929060921937704,2,1 - almost none,yes
77,no,no,no,False,new,no,mon,management,-2.9,92.963,-40.8,1.266,5076.2,single,jun,2,750,999,2.015338510051689,1,3 - a bit more,no
32,yes,yes,no,False,new,,mon,laborer,1.4,93.91799999999999,-42.7,4.962,5228.1,married,jul,3,620,999,0.525162685656554,0,3 - a bit more,no
58,yes,no,no,False,old,,mon,engineer,1.4,93.444,-36.1,4.965,5228.1,married,aug,5,580,999,-1.0541091714819122,0,5 - a decent amount,no
42,yes,no,no,False,old,,thu,customer service,-2.9,92.963,-40.8,1.26,5076.2,divorced,jun,1,680,999,0.15049046176925807,0,4 - average amount,no
50,yes,yes,no,unknown,new,,fri,assistant,-1.8,92.89299999999999,-46.2,1.25,5099.1,married,may,1,790,999,1.4366966865969628,0,5 - a decent amount,no
60,no,no,no,False,new,,mon,leisure,-3.4,92.431,-26.9,0.7390000000000001,5017.5,married,oct,1,910,999,0.3344538004562681,0,1 - almost none,no
43,no,no,no,False,new,,wed,management,1.4,93.444,-36.1,4.9639999999999995,5228.1,married,aug,2,740,999,-1.0804679103356534,0,5 - a lot,no
26,yes,no,no,False,old,,thu,engineer,1.4,93.91799999999999,-42.7,4.966,5228.1,married,jul,2,600,999,0.6751413107677956,0,5 - a decent amount,no
54,yes,no,no,unknown,new,no,mon,management,-1.8,92.89299999999999,-46.2,1.2990000000000002,5099.1,married,may,2,870,999,-2.1180816842749364,1,4 - average amount,no
30,yes,no,no,unknown,old,,mon,assistant,1.1,93.994,-36.4,4.857,5191.0,married,may,3,600,999,0.5644973599520573,0,5 - a lot,no
48,yes,no,no,False,new,,thu,customer service,-0.1,93.2,-42.0,4.0760000000000005,5195.8,single,nov,2,560,999,-0.44158170318283013,0,,no
31,no,no,no,False,new,,fri,assistant,-1.8,92.89299999999999,-46.2,1.3130000000000002,5099.1,married,may,3,710,999,1.1770955639563716,0,4 - average amount,no
47,yes,yes,no,False,old,,mon,management,1.4,94.465,-41.8,4.865,5228.1,divorced,jun,1,590,999,-0.16662963551992563,0,5 - a lot,no
30,yes,no,no,False,new,,mon,engineer,1.4,93.91799999999999,-42.7,4.962,5228.1,married,jul,3,560,999,-0.663040213594449,0,5 - a decent amount,no
53,no,no,no,False,new,,wed,assistant,1.4,93.444,-36.1,4.9639999999999995,5228.1,married,aug,1,870,999,0.4272559982513294,0,4 - average amount,no
44,yes,no,yes,False,new,no,mon,laborer,-1.8,92.89299999999999,-46.2,1.244,5099.1,single,may,2,760,999,-1.9659620040505505,1,3 - a bit more,yes
31,yes,yes,no,unknown,new,,tue,laborer,1.4,93.91799999999999,-42.7,4.961,5228.1,married,jul,3,790,999,-0.08828847975703118,0,3 - a bit more,no
36,no,no,no,False,old,,fri,self-employed,1.4,94.465,-41.8,4.959,5228.1,divorced,jun,1,810,999,-1.7753841383331643,0,1 - almost none,no
53,yes,no,no,unknown,old,,mon,customer service,1.1,93.994,-36.4,4.857,5191.0,married,may,1,550,999,-0.5684471659426739,0,4 - average amount,no
50,yes,no,yes,False,new,,thu,self-employed,-1.8,93.075,-47.1,1.41,5099.1,married,apr,2,920,999,-1.0795780964037545,0,5 - a lot,yes
26,no,no,no,False,old,,mon,assistant,1.4,94.465,-41.8,4.865,5228.1,single,jun,1,750,999,0.29122623311233004,0,4 - average amount,no
54,no,yes,no,unknown,new,,thu,laborer,1.4,93.444,-36.1,4.9639999999999995,5228.1,married,aug,3,810,999,-0.27882247812273014,0,1 - almost none,no
48,yes,no,no,False,new,,thu,laborer,1.4,93.444,-36.1,4.963,5228.1,married,aug,1,790,999,-0.2685491517423808,0,2 - a little bit,no
51,no,no,no,False,new,,wed,cleaner,1.4,93.91799999999999,-42.7,4.962,5228.1,married,jul,1,610,999,0.022661007253412118,0,1 - almost none,no
37,no,no,no,False,new,,fri,customer service,-1.8,92.89299999999999,-46.2,1.25,5099.1,married,may,2,550,999,-1.8403855196564938,0,4 - average amount,no
39,yes,no,no,False,old,,thu,assistant,1.4,94.465,-41.8,4.958,5228.1,married,jun,3,600,999,1.582532809395315,0,5 - a lot,no
26,no,no,no,False,old,,tue,engineer,1.1,93.994,-36.4,4.857,5191.0,married,may,2,500,999,-0.5415119636261224,0,5 - a decent amount,no
32,no,no,no,False,old,,wed,assistant,1.1,93.994,-36.4,4.859,5191.0,single,may,1,530,999,1.7286239275050508,0,5 - a lot,no
30,no,no,yes,False,new,,tue,self-employed,-3.4,92.37899999999999,-29.8,0.7879999999999999,5017.5,single,sep,1,990,999,-0.11145663699799573,0,5 - a lot,yes
67,no,no,yes,False,new,yes,thu,cleaner,-1.7,94.027,-38.3,0.899,4991.6,divorced,aug,1,980,6,0.016345610861018618,2,5 - a decent amount,yes
44,no,yes,no,False,new,,tue,laborer,1.4,93.444,-36.1,4.963,5228.1,married,aug,5,640,999,-0.6049722989372808,0,2 - a little bit,no
33,no,no,no,False,new,,fri,engineer,1.4,93.444,-36.1,4.966,5228.1,married,aug,3,610,999,-0.8018814485769846,0,5 - a decent amount,no
35,yes,yes,no,False,new,,mon,engineer,1.4,93.444,-36.1,4.97,5228.1,divorced,aug,2,900,999,-0.8634791016552406,0,5 - a lot,no
33,no,no,no,unknown,old,,fri,customer service,1.4,94.465,-41.8,4.967,5228.1,married,jun,3,600,999,-0.7093058478016674,0,4 - average amount,no
27,no,no,yes,False,old,,fri,self-employed,1.4,94.465,-41.8,4.947,5228.1,single,jun,1,500,999,-1.4702487016097865,0,5 - a lot,yes
56,yes,no,no,False,new,,mon,laborer,1.4,93.91799999999999,-42.7,4.96,5228.1,single,jul,1,850,999,-1.5529737224538152,0,1 - almost none,no
58,no,no,no,False,new,,mon,laborer,1.4,93.444,-36.1,4.97,5228.1,married,aug,1,570,999,-1.7713335778480517,0,3 - a bit more,no
53,no,yes,no,unknown,old,,fri,laborer,1.4,94.465,-41.8,4.967,5228.1,married,jun,1,590,999,-0.12722290102249997,0,3 - a bit more,no
42,no,no,yes,False,new,,tue,engineer,1.4,93.91799999999999,-42.7,4.961,5228.1,married,jul,3,870,999,0.8091034689180729,0,3 - a bit more,yes
45,no,no,no,unknown,old,,tue,engineer,1.1,93.994,-36.4,4.857,5191.0,married,may,2,680,999,-1.4137035351720904,0,3 - a bit more,no
